,time,OpenInterest_long,OpenInterest_short,TradingVolume_usd,liquidate_short,liquidate_long,high,low,open,close
211,2022-06-26,3744998.7035883297,5314259.509142013,401244.37724277086,0.0,1312.9227766338686,21855.84,20968.82,21474.19,21031.85
212,2022-06-27,3711255.92898498,5260459.395433813,446155.46027955814,0.0,0.0,21505.42,20553.32,21031.85,20718.16
213,2022-06-28,3740899.9078107774,5261853.510255489,553706.1494487583,93.66687737907672,0.0,21184.16,20179.52,20718.16,20251.96
214,2022-06-29,3802309.535884603,5326090.276510091,616187.4731765344,0.0,0.0,20402.7,19844.86,20251.96,20094.16
215,2022-06-30,3805550.125655123,5295269.980446511,783513.9856053047,1701.93239347707,0.0,20138.96,18622.86,20094.16,19908.49
216,2022-07-01,3832774.280412227,5274254.139748122,750831.0950612248,0.0,9586.211033596404,20817.65,18952.12,19908.49,19249.33
217,2022-07-02,3883545.530491365,5308262.87234943,244613.71825619054,0.0,0.0,19419.25,18965.44,19249.33,19225.66
218,2022-07-03,3878100.241119783,5299026.376963393,216540.55733319875,0.0,0.0,19617.18,18768.2,19225.66,19294.21
219,2022-07-04,3877433.684238597,5344530.965004678,568967.6248668085,0.0,0.0,20313.34,19036.44,19294.21,20212.81
220,2022-07-05,3826728.046396724,5301734.128646557,560109.2330752081,0.0,0.0,20725.51,19284.32,20212.81,20158.69
221,2022-07-06,3790908.543285152,5292911.462346323,537346.3023086523,0.0,0.0,20637.99,19749.93,20158.69,20545.04
222,2022-07-07,3752168.565313361,5305371.076317604,495121.75042343704,0.0,1146.774334199034,21840.22,20242.62,20545.04,21611.8
223,2022-07-08,3669905.6822869144,5205512.396406437,1183851.623270137,0.0,0.0,22377.17,21183.19,21611.8,21592.65
224,2022-07-09,3622436.6764643406,5157827.748696977,338310.5654584236,0.0,557.4147750897606,21942.8,21328.96,21592.65,21582.17
225,2022-07-10,3636167.1909163874,5101469.382173066,346520.62580563634,0.0,0.0,21591.09,20671.26,21582.17,20846.53
226,2022-07-11,3669023.740160661,5088175.600758877,471220.51001356286,0.0,0.0,20852.04,19872.03,20846.53,19944.25
227,2022-07-12,3676998.357632892,5100920.580206058,760654.4702964004,0.0,0.0,20036.49,19230.29,19944.25,19309.71
228,2022-07-13,3747022.281143588,5220430.787864246,1347899.3888055633,0.0,0.0,20274.83,18919.1,19309.71,20230.81
229,2022-07-14,3776294.1709428364,5261237.589769221,1066620.5148737554,0.0,444.85990675365247,20869.51,19620.06,20230.81,20577.38
230,2022-07-15,3778305.2768395906,5287359.92168742,886955.2029899729,0.0,0.0,21185.15,20373.45,20577.38,20827.27
231,2022-07-16,3769358.3814803353,5293850.46300898,574193.8129234661,0.0,0.0,21574.75,20481.02,20827.27,21199.01
232,2022-07-17,3788104.0708142444,5271885.83986057,522118.21866115317,0.0,0.0,21658.47,20752.85,21199.01,20792.81
233,2022-07-18,3749396.1524813343,5310016.962648324,1616764.1247382627,0.0,4011.2399153678007,22749.06,20760.73,20792.81,22447.39
234,2022-07-19,3728150.0654367767,5273114.638800098,3290007.624784823,0.0,48556.53224480483,23790.89,21588.2,22447.39,23399.91
235,2022-07-20,3758734.4550000424,5297938.794173185,2152429.0162635534,0.0,53.92434558026216,24276.14,22923.14,23399.91,23222.77
236,2022-07-21,3624075.180044899,5171370.030193807,1434086.3467840313,0.0,0.0,23419.67,22348.64,23222.77,23153.54
237,2022-07-22,3663782.3950438015,5145253.901950528,899976.8317249818,0.0,122.04373771598176,23749.68,22513.01,23153.54,22686.32
238,2022-07-23,3697205.600561034,5141050.610048974,1261795.4032297167,0.0,0.0,22997.6,21953.76,22686.32,22452.14
239,2022-07-24,3686697.888573166,5156933.553788476,1655599.3990585222,0.0,0.0,23012.74,22270.07,22452.14,22585.4
240,2022-07-25,3849860.9138574665,5038255.265171854,2081611.5253291735,5.582444755298893,0.0,22660.92,21268.28,22585.4,21305.59
241,2022-07-26,4018963.2159288637,5080325.8872642545,2088444.7821244982,1567.2932687056532,0.0,21341.58,20733.24,21305.59,21258.08
242,2022-07-27,3903204.918930301,5398524.334612421,3182105.05717727,0.0,0.0,23101.9,21049.67,21258.08,22960.19
243,2022-07-28,3955128.5330766616,5567085.853791527,3862022.148444085,0.0,5029.391725074764,24196.42,22599.92,22960.19,23855.65
244,2022-07-29,4093410.6665820093,5637772.23858255,3348272.4625682877,16.201277569619727,0.0,24416.37,23444.29,23855.65,23769.15
245,2022-07-30,4192684.691318275,5729671.029495147,1918124.734075085,0.0,0.0502965124017249,24619.11,23521.46,23769.15,23646.03
246,2022-07-31,4178596.0019406993,5635828.414439047,1921450.6756762408,0.0,0.0,24187.18,23243.11,23646.03,23308.14
247,2022-08-01,4059789.6570677436,5481744.413115137,2110361.8171586893,0.0,0.0,23504.29,22866.94,23308.14,23271.57
